,Modelo,Motorizacion,Categoria,MTMA_Kg,Consumo_electrico_kWh/10km,Potencia_electrica_kW,Autonomia_electrica_km,Capacidad_bateria_kWh,Consumo Mínimo,Consumo Máximo,Emisiones Mínimo,Emisiones Máximo
114,BMW 320e xDrive Touring (Desde prod 03/2024) 51FY,Híbridos enchufables,M1,2405.0,22.2,80.0,58.0,10.5,1.5,2.1,34.0,47.0
115,BMW 320e xDrive Touring (Desde prod 11/2023) 51FY,Híbridos enchufables,M1,2405.0,21.2,80.0,58.0,10.5,1.5,2.1,34.0,47.0
116,BMW 330e Berlina (Desde prod 04/2024) 28FS,Híbridos enchufables,M1,2290.0,21.6,80.0,62.0,10.5,1.3,1.8,30.0,40.0
117,BMW 330e Berlina (Desde prod 07/2020) 5P51,Híbridos enchufables,M1,2300.0,13.9,83.0,57.0,70.0,1.3,1.8,30.0,41.0
118,BMW 330e Berlina (Desde prod 11/2019) 5P51,Híbridos enchufables,M1,2300.0,14.8,83.0,59.0,34.0,1.4,1.6,31.0,37.0
119,BMW 330e Berlina (Desde prod 12/2023) 28FS,Híbridos enchufables,M1,2290.0,20.3,80.0,62.0,10.5,1.3,1.8,30.0,40.0
120,BMW 330e xDrive Touring (Desde prod 03/2024) 71CY,Híbridos enchufables,M1,2405.0,22.4,80.0,57.0,10.5,1.5,2.1,35.0,48.0
121,BMW 330e xDrive Touring (Desde prod 07/2020) 6N71,Híbridos enchufables,M1,2425.0,14.7,83.0,52.0,70.0,1.6,2.1,35.0,48.0
122,BMW 330e xDrive Touring (desde prod 07/2022) 71CY,Híbridos enchufables,M1,2405.0,21.5,80.0,57.0,10.5,1.5,2.1,35.0,48.0
124,BMW 330e xDrive Touring (desde prod 07/2022) 71CY,Híbridos enchufables,M1,1880.0,21.5,80.0,58.0,11.2,1.5,2.1,35.0,48.0
126,BMW 330e xDrive Touring (Desde prod 11/2023) 71CY,Híbridos enchufables,M1,2405.0,21.5,80.0,57.0,10.5,1.5,2.1,35.0,48.0
127,BMW 520e Berlina (Desde prod 03/2021) 31BK,Híbridos enchufables,M1,1910.0,20.6,80.0,63.0,12.0,1.3,1.8,30.0,41.0
